Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
1,,,BC,BC,Early Predynastic,Abydos,Male,178,177,138,131,113,120,98,89,68,49,23,91,76,A,1370
1,,,BC,BC,Early Predynastic,Abydos,Male,179,179,131,125,111,121,97,92,67,48,23,95,73,B,1250
1,,,BC,BC,Early Predynastic,Abydos,Male,185,185,134,136,112,116,,,68,47,24,,,,1430
1,,,BC,BC,Early Predynastic,Abydos,Male,183,180,132,131,112,122?,103,99,64,50,26,96,74.5,C,1350
1,,,BC,BC,Early Predynastic,Abydos,Male,169,169,132,119,106,119,100,96,64,44,25,96,74,B C,1130
1,,,BC,BC,Early Predynastic,Abydos,Male,202,202,143,136,119,130,107,100,75,54,24,93,73.5,A,1670
1,,,BC,BC,Early Predynastic,Abydos,Male,185,185,,114,,,,,68,47,23,,,,
1,,,BC,BC,Early Predynastic,Abydos,Male,175,175,,128,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,Abydos,Male,190,190,,146,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,Abydos,Male,188,188,,127,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,Abydos,Male,177,177,122,130,,,,,,,,,,,1195
1,,,BC,BC,Early Predynastic,Abydos,Male,192,189,,136,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,Abydos,Male,187,187,137,138,114,123,96,89,76,56,25,93,70.5,A,1500
1,,,BC,BC,Early Predynastic,Abydos,Male,176,174,134,132,100,,98,86,65,,,88,79.5,- A,1325
1,,,BC,BC,Early Predynastic,Abydos,Male,192,192,130,139,115,125,103,108,72,48,28,105,66,E F,1480
1,,,BC,BC,Early Predynastic,Abydos,Male,187,187,,132,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,Abydos,Male,187,185,136,125,105,119,101,93,66,48,25,92,76,A,1350
1,,,BC,BC,Early Predynastic,Abydos,Male,181,177,134,131,112,125,102,102,76,51,25,100,68,C,1350
1,,,BC,BC,Early Predynastic,Abydos,Male,194,191,134,134,127,,109,99,72,51,26,91,77.5,A,1480
1,,,BC,BC,Early Predynastic,Abydos,Male,191,189,,130,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,161,161,,129,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,181,180,138,129,,123,106,95,65,50,24,90,80,A,1370
1,,,BC,BC,Early Predynastic,EL Amrah,Male,188,188,138?,135,,113,,,67,47,26,,,,1490
1,,,BC,BC,Early Predynastic,EL Amrah,Male,169?,,,140,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,189,188,,138,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,189,189,,125,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,182,184,,128,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,195,193,,,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,EL Amrah,Male,193,191,140.5,131,,128,,,,,,,,,1495
1,,,BC,BC,Early Predynastic,EL Amrah,Male,190,188,,125,,,,,,,,,,,
1,,,BC,BC,Early Predynastic,Hou,Male,177,176,121,134,116,125,96,95,72,53,25,99,68,B C,1220
1,,,BC,BC,Early Predynastic,Hou,Male,189,188,129,126,111,126,105,109,68,51,26,104,68,F,1305
1,,,BC,BC,Early Predynastic,Hou,Male,190,188,142,133,114,,106,107,64,,,101,71,E,1525
1,,,BC,BC,Early Predynastic,Hou,Male,180,179,136,132,121,129,102,100,66,50,27,98,72,C D,1375
1,,,BC,BC,Early Predynastic,Hou,Male,181,179,140,141,114,125,102,100,72,51,27,98,70,C,1520
1,,,BC,BC,Early Predynastic,Hou,Male,174,171,134,131,116,130,99,97,69,54,22,98,71,C,1300
1,,,BC,BC,Early Predynastic,Hou,Male,178,178,137,135,112,122,109,103,74,50,24,94.5,74,A B,1400
1,,,BC,BC,Early Predynastic,Hou,Male,176,173,133,132,112,126,98,93,72,53,26,95,71.5,A B,1315
1,,,BC,BC,Early Predynastic,Hou,Male,181,179,136,139,116,,98,96,70?,50,27,98,70?,,1460
1,,,BC,BC,Early Predynastic,Hou,Male,185,183,131,132,111,124,104,101,68,49,26,97,73,C,1360
1,,,BC,BC,Early Predynastic,Hou,Male,184,184,133,126,114,125,103,102,66,51,28,99,72,D,1310
