Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
2,,,BC,BC,Early Predynastic,Hou,Male,186,185,135,135,116,125,105,103,66,47,26,98,73,D,1440
2,,,BC,BC,Early Predynastic,Hou,Male,176,175,124,134,110,123,96,93,74,53,23,97,69,A B,1245
2,,,BC,BC,Early Predynastic,Hou,Male,187,186,134,128,,,110,103,67,50,27,94,77,B C,1360
2,,,BC,BC,Early Predynastic,Hou,Male,181,181,130,130,117,129,103,104,69,49,25,101,69.5,D E,1300
2,,,BC,BC,Early Predynastic,Hou,Male,185,182,135,138,121,136,104,100,78,55,27,96,70,A B,1470
2,,,BC,BC,Early Predynastic,Hou,Male,184,184,132,128,106,117,97,93,72,53,25,96,70.5,A B,1320
2,,,BC,BC,Early Predynastic,Hou,Male,184,184,129,127,116,131,102,106,63,48,28,104,68.5,F,1290
2,,,BC,BC,Early Predynastic,Hou,Male,185,183,136,131,117,129,111,114,73,54,27,103,68.5,E F,1400
2,,,BC,BC,Early Predynastic,Hou,Male,180,179,138,124,114,120,101,101,62,46,25,100,71.5,D E,1310
2,,,BC,BC,Early Predynastic,Hou,Male,181,180,139,131,113,121,98,92,71,53,24,94,73,A,1400
2,,,BC,BC,Early Predynastic,Hou,Male,183,182,138,131,111,126,102,98,73,49,24,96,71,B,1410
2,,,BC,BC,Early Predynastic,Hou,Male,183,180,140,137,127,133,103,103,74,52,22,100,69,C,1495
2,,,BC,BC,Early Predynastic,Hou,Male,184,180,125,128,112,121,98,95,64,44,24,97,72.5,C,1250
2,,,BC,BC,Late Predynastic,El Amrah,Male,185,185,138,124,115,122,102,101,67,48,26,99,71,D,1350
2,,,BC,BC,Late Predynastic,El Amrah,Male,178?,176?,,138,,,,,,,,,,,
2,,,BC,BC,Late Predynastic,El Amrah,Male,189,187,134,133,,129,99,97,65,48,30,98,72,C D,1430
2,,,BC,BC,Late Predynastic,El Amrah,Male,183?,182?,,142,,,,,,,,,,,
2,,,BC,BC,Late Predynastic,El Amrah,Male,183,183,,141,,,,,,,,,,,
2,,,BC,BC,Late Predynastic,El Amrah,Male,194,194,,134,,,,,,,,,,,
2,,,BC,BC,Late Predynastic,El Amrah,Male,189,189,134,138,,120,100,98,67,45,26,98,71,C,1490
2,,,BC,BC,Late Predynastic,El Amrah,Male,190,190,,132,,,,,,,,,,,
2,,,BC,BC,Late Predynastic,El Amrah,Male,190,186,129,148,130,134,100,104,69,51,24,,,,
