Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,179,179,129,128,,120,95,86,65,50,26,90.5,76.5,- A,1260
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,176,176,132,124,,123,91,91,65,44,22,100,69,C,1225
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,178,178,,127,,,,,,47,23,,,,
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,178,178,127,127,,123,96,95,66,47,24,99,70,C D,1220
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,174,174,125,127,,121,96,94,63,46,25,98,72,C D,1175
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,178,178,133,129,,116,99,92,66,48,25,93,75,A B,1300
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,185,185,129,135,,125,93,89,70,50,22,96,70,A B,1365
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,173,172,126,131,,120,99,89,68,49,24,90,76.5,- A,1215
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,180.5,178.5,126.5,135.5,,116.5,94,92,59.5,41,22,98,73,D,1315
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,177,177,131,130,,123,96,96,64,47,28.5,100,70,C D,1280
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,182,180.5,144,125,,129,106,94,70,,,89,79,- A,1395
22,-4800,-4500,BC,BC,First Dynasty,El Amrah,Female,188,188,132,133,,128,106,100,72,,,94,74,A B,1405
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,182,182,125,136,117,,97,97,73,50,25,100,68,C,1315
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,176,176,125,133,116,125,97,97,66,48,25,100,70,C D,1245
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,181,180,126,135,118,127,94,87,68,51,26,93,73.5,A B,1310
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,176,176,123,129,115,124,95,97,68,50,26,102,67.5,D E,1185
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,173,173,123,132,112,116,90,89,65,47,27,99,69,C,1195
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,185,184,122,145,116,123,97,96,67,46,24,99,70,C D,1390
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,170,170,129,123,113,,96,95,67,49,29,99,69.5,C,1145
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,176,174,128,121,111,121,98,96,68,51,27,98,71,C,1160
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,174,174,126,129,108,119,91,88,66,48,28,97,70,B,1200
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,173,173,125,132,108,113,92,94,55,42,25,102,70,E F,1180
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,176,174,130,128,110,118,90,90,69,51,27,100,67,B C,1245
22,-4800,-4500,BC,BC,First Dynasty,Hou,Female,172,172,125,126,110,118,93,97,69,48,25,104,65,D,1150
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,175,175,,135,,,,,68,47,25,,,,
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,184,183,128,136,112,118,93,83,67,49,24,89,75,- A,1360
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,182,182,,134,115,,91,92,70,47,26,101,67,C D,
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,176,175,,137,,,,,64,47,25,-,,,-
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,167,166,133,137,124,131,95,91,61,46,29,96,74,B C,1295
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,169,169,126,136,115,,91,91,71,52,25,100,67,B C,1230
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,173,173,125,139,112,120,91,90,69,50,24,99,68,B C,1280
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,178,178,133,132,110,114,94,89,65,46,21,95,73.5,B,1330
22,-4800,-4200,BC,BC,First and Second Dynasties,Royal Tombs at Abydos,Female,175,174,127,129,111,123,94,91,65,47,23,97,72,B C,1220
