Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,188,188,133,140,112,121,100,96,70,49,25,96,72,B C,1490
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,176,176,125,132,117,125,92,88,74,53,26,96,68,A,1235
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,179,179,126,134,104,112,98,91,56,47,28,93,78,B,1285
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,175,126,129,108,119,95,90,65,48,21,95,73,B,1210
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,169,169,125,128,111,115,91,87,63,46,25,96,72.5,B C,1150
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,176,174,128,130,111,121,96,90,64,50,28,94,74,A B,1245
30,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,176,175,127,132,115,122,95,87,68,50,27,92,74,A,1255
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,182,181,130,139,114,123,96,90,72,53,23,94,71,A,1400
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,175,174,131,130,109,119,99,93?,59?,46,25,94,,,1265
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,176,176,137,127,120,130,102,95,67,52,25,93,75.5,A B,1305
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,176,176,123,130,111,121,94,91,63,46,26,97,73,C,1200
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,167,167,125,126,108,116,98,87,68,50,24,89,77,- A,1120
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,178,178,114,127,115,121,96,89,68,50,24,93,73.5,A,1095
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,181,180,131,127,117,122,97,86,66,49,25,89,77,- A,1280
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,172,171,127,127,113,121,101,96,71,50,27,95,72,A B,1180
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,173,173,125,126,116,125,97,92,65,47,25?,95,74,B,1160
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,177,177,133,130,119,125,95,89,66,47,22,94,73.5,A B,1300
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,178,178,122,132,110,119,96,88?,64?,48,23,92,,,1220
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,181,181,127,129,117,121,104,93,67,50,25,89,79,- A,1260
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,173,173,118,127,104,114,95,91,63,50,26,96,73,B C,1100
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,171,171,124,136,112,116,94,92,62,47,23,98,72,C D,1225
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,177,177,127,132,113,122,97,89,67,48,24,92,74.5,A,1265
30,-378,-342,BC,BC,Thirtieth Dynasty,Hou,Female,175,174,124,136,113,121,99,92,69,53,24,93,74,A B,1255
30,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,172,172,128.5,136,117,124,95,93,63,46,24,98,72,C D,1275
30,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,179,177,126,134,121,128,101.5,93,64,46.5,25,92,77.5,A,1285
30,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,167,167,124.5,130.5,112,118,92,91,66,51,24,99,69,C,1145
30,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,180.5,179.5,131,139,121,127,98,98,72.5,51.5,28.5,100,68,C,1395
