Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
26,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,180,125,133,109,117,,,,,,,,,1270
26,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,168,167.5,133,136,107,118,95,95,69,47,25,100,68.5,C,1290
26,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,174,132,134,110,117,99,99,68,50,25,100,70,C D,1320
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,179,179,128,129,112,116,99,93,71,49,22,94,72.5,A,1255
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,170,170,117,122,109,114,90,84,62,44,23,93,74,A B,1030
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,175,174,126,132,111,119,92,87,69,46,23,95,71,A B,1240
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,170,170,125,127,108,117,92,87,63,47,23,95,73,B,1150
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,181,181,127,133,105,110,96,87?,64?,50,21,91,77,,1300
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,173,173,128,128,103,112,90,88,67?,49,20,98,69?,,1205
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,174,174,123,131,103,113,101,96,70,50,27,95,72.5,A B,1190
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,176,175,125,134,102,112,98,87,62,48,24,89,80,- A,1265
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,171,171,128,136,106,115,93,83,65,48,23,89,77,- A,1270
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,181,180,131,135,107,117,98,97,69,47,25,99,70,C D,1360
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,179,178,128,127,109,117,100,91,69,52,25,91,75,A,1240
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,174,174,129,134,,,93,90,61,46,24,97,72.5,C,1280
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,180,180,123,127,107,117,93,85,66,48,29,91,74.5,A,1195
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,176,175,128,132,107,120,96,93,71,51,25,97,70,B,1265
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,173,173,124,129,114,122,96,89,68,50,26,93,73.5,A,1180
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,182,181,128,140,116,121,96,91,70?,50,25,95,71.5,,1390
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,176,176,126,135,110,118,98,95,64,48,25,97,72.5,C,1275
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,171,171,128,129,114,120,94,89,68,49,26,95,71.5,A B,1200
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,174,174,129,121,105,116,97,92,69,50,23,95,72,A B,1155
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,177,177,131,129,113,120,95,87,67,48,23,92,74.5,A,1270
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,171,171,123,126,106,113,93,90,65,43,26,97,71,B C,1130
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,172,172,125,128,109,119,93,95,67,44,26,102,67,D E,1170
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,178,178,128,130,111,121,92,94,69,48,25,102,66,C,1260
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,179,179,123,133,115,122,89,85,72,51,25,95.5,68,A,1245
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,176,176,131,124,,,99,85,70,,,86,78.5,- A,1215
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,179,177,123,138,110,118,97,95,70,49,26,98,70,C,1295
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,173,173,123,130,111,118,95,93,66,50,23,98,71,C,1180
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,173,173,124,136,111,122,93,94,66,49,24,101,68.5,D,1240
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,177,176,127,130,109,117,95,93,68,48,26,98,69.5,B C,1245
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,180,180,132,131,111,118,97,96,73,49,26,99,68.5,B C,1325
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,179,179,139,129,113,121,100,85,71,51,26,85,79,- A,1365
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,172,172,123,129,110,117,91,86,64,48,22,94.5,72.5,A,1160
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,181,181,131,132,114,120,102,96,71,51,26,94,73.5,A B,1330
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,165,165,124,138,110,113,91,85,64,47,24,93,73,A,1200
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,177,177,126,131,109,118,98,92,62,47,24,94,76,B,1245
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,176,176,123,135,105,113,91,88,59,44,25,97,72.5,C,1245
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,167,167,122,132,113,119,88,86,69,50,21,98,68,B,1145
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,174,173,127,131,120,123,98,89,69,48,26,91,75,A,1230
26,-2780,-2560,BC,BC,Twelfth to Fifteenth Dynasties,Hou,Female,175,175,123,133,116,123,89,88,71,49,26,99,67,B,1220
